=== libpredict example application ===
Time:                     2024-07-05 15:56:09.851Z
Observer Position:        +51.2365°N, -0.5788°E, +0m
== Celestial Bodies ==
Current Sun Observation:  AZ:  259.248°, EL:   37.810°
          RF refraction:  dEL:   +0.013° (visible)
== Spacecraft ==
Parsing ISS TLE..         OK (Epoch: 2024.181.34)
Calculating ISS orbit..   OK
Current ISS Observation:  AZ:  341.049°, EL:  -42.554°
          RF refraction:  dEL:   +0.000° (not visible)
IM Chip ID: 0xa0 (correct = a0)
OPR Mode: 0x04
Next ISS AoS Azimuth:     176.567° at 2024-07-05 21:44:54.135Z
+0348,-0276,358.5
      Max Elevation:        6.754° at 2024-07-05 21:48:32.255Z
         LoS Azimuth:      86.982° at 2024-07-05 21:52:24.429Z
+0006,-0593,275.4
+0000,-0587,274.8
+0000,-0599,274.8
+0006,-0587,273.3
+0012,-0581,273.2
-0023,-0599,273.2
-0023,-0593,271.7
-0023,-0581,271.6
-0023,-0587,271.6
-0023,-0581,270.1
-0035,-0599,270.1
-0023,-0581,269.9
-0029,-0593,268.7
-0041,-0587,268.7
-0041,-0575,268.5
-0053,-0593,267.1
-0053,-0587,267.1
-0029,-0581,267.1
-0053,-0587,265.6
-0041,-0581,265.5
-0041,-0581,265.6
-0101,-0587,264.2
-0047,-0581,264.0
-0059,-0581,264.0
-0065,-0581,262.6
-0101,-0581,262.6
-0095,-0581,262.6
-0089,-0575,261.0
-0071,-0569,261.0
-0083,-0575,261.0
-0095,-0569,259.8
-0095,-0569,259.4
-0089,-0569,259.4
-0107,-0545,258.5
-0113,-0563,258.0
-0095,-0569,258.0
-0089,-0563,256.4
-0089,-0551,256.4
-0107,-0551,254.9
-0101,-0545,254.9
-0119,-0563,254.9
-0113,-0569,253.9
-0095,-0557,253.5
-0131,-0539,253.5
-0119,-0551,252.1
-0131,-0539,251.9
-0131,-0551,251.9
-0137,-0545,250.5
-0161,-0545,250.3
-0155,-0533,250.3
-0161,-0533,249.2
-0149,-0545,248.8
-0125,-0533,248.8
-0155,-0539,247.4
-0161,-0545,247.2
-0137,-0527,247.2
-0143,-0533,245.8
-0137,-0515,245.6
-0161,-0521,245.8
-0155,-0521,244.5
-0173,-0509,244.2
-0161,-0521,244.2
-0155,-0515,242.7
-0155,-0509,242.6
-0137,-0509,242.5
-0185,-0503,241.3
-0179,-0503,241.1
-0179,-0497,241.1
-0173,-0491,240.5
-0191,-0509,239.6
-0167,-0497,238.5
-0179,-0485,238.1
-0167,-0497,238.1
-0191,-0485,236.6
-0173,-0467,236.6
-0185,-0485,236.5
-0191,-0485,235.1
-0191,-0479,235.1
-0197,-0485,235.1
-0173,-0491,233.5
-0191,-0479,233.5
-0209,-0473,233.5
-0197,-0461,232.0
-0197,-0467,232.0
-0209,-0461,232.0
-0185,-0455,230.4
-0191,-0455,230.4
-0227,-0467,230.4
-0203,-0461,229.0
-0203,-0449,229.0
-0209,-0443,229.0
-0203,-0467,227.6
-0191,-0449,227.4
-0203,-0461,227.4
-0197,-0455,226.1
-0215,-0455,225.9
-0191,-0449,225.9
-0209,-0443,224.5
-0209,-0437,224.3
-0203,-0419,224.3
-0197,-0431,223.1
-0197,-0443,222.9
-0197,-0419,222.8
-0215,-0419,221.7
-0197,-0419,221.3
-0209,-0431,220.0
-0209,-0425,219.7
-0209,-0425,219.7
-0215,-0413,218.2
-0221,-0419,218.2
-0203,-0407,218.1
-0221,-0413,216.8
-0203,-0419,216.8
-0239,-0413,216.3
-0191,-0401,215.2
-0209,-0396,215.2
-0191,-0413,215.1
-0203,-0390,213.8
-0203,-0396,213.8
-0203,-0395,213.6
-0221,-0396,212.2
-0251,-0396,212.2
-0215,-0396,212.2
-0221,-0396,210.6
-0227,-0413,210.6
-0221,-0396,210.0
-0239,-0401,209.1
-0233,-0384,209.1
-0227,-0396,208.3
-0203,-0372,207.5
-0233,-0378,207.5
-0227,-0390,207.5
-0233,-0384,206.1
-0215,-0378,205.9
-0215,-0372,205.9
-0245,-0372,205.4
-0203,-0366,204.5
-0227,-0354,204.5
-0215,-0372,202.9
-0197,-0366,203.0
-0215,-0366,201.7
-0233,-0360,201.4
-0209,-0354,201.4
-0209,-0366,201.3
-0227,-0348,200.0
-0233,-0360,199.9
-0239,-0348,199.9
-0257,-0354,198.4
-0215,-0348,198.4
-0233,-0336,198.4
-0233,-0348,196.8
-0221,-0342,196.8
-0185,-0366,196.8
-0215,-0348,195.4
-0221,-0342,195.4
-0233,-0342,195.2
-0215,-0336,193.8
-0221,-0348,193.8
-0227,-0336,193.8
-0227,-0324,192.3
-0239,-0324,192.3
-0221,-0336,192.2
-0209,-0324,190.7
-0209,-0330,190.7
-0245,-0324,190.7
-0221,-0324,190.7
-0209,-0324,189.3
-0209,-0324,189.3
-0239,-0336,188.5
-0233,-0336,187.7
-0233,-0306,187.7
-0233,-0306,187.5
-0215,-0312,186.2
-0209,-0306,184.6
-0215,-0300,184.6
-0227,-0318,184.6
-0221,-0294,183.2
-0233,-0312,183.2
-0245,-0294,183.0
-0239,-0318,181.6
-0239,-0306,181.5
-0251,-0282,181.2
-0227,-0288,180.0
-0239,-0288,180.0
-0245,-0294,180.1
-0257,-0276,178.4
-0239,-0282,178.5
-0239,-0282,178.5
-0239,-0264,177.0
-0233,-0270,177.0
-0233,-0270,177.0
-0239,-0270,175.5
-0227,-0270,175.5
-0227,-0270,175.5
-0245,-0258,173.9
-0221,-0276,173.9
-0221,-0270,173.8
-0257,-0264,172.5
-0245,-0264,172.5
-0257,-0258,171.7
-0233,-0252,170.9
-0227,-0264,170.9
-0233,-0246,170.3
-0221,-0264,169.4
-0245,-0246,169.4
-0233,-0258,169.3
-0239,-0246,167.8
-0227,-0252,167.0
-0233,-0240,166.4
-0227,-0216,166.4
-0203,-0228,165.6
-0233,-0001,164.8
-0239,-0234,164.8
-0221,-0234,164.0
-0239,-0216,163.3
-0227,-0228,163.3
-0233,-0204,162.0
-0221,-0204,161.7
-0251,-0222,161.7
-0251,-0210,160.3
-0239,-0216,160.3
-0227,-0210,160.3
-0233,-0198,159.4
-0227,-0198,158.7
-0233,-0198,158.6
-0221,-0198,157.2
-0233,-0192,157.1
-0227,-0198,157.0
-0245,-0192,155.6
-0239,-0204,155.6
-0221,-0198,155.6
